the: 这/那
be: 是
and: 和
of: 的
a: 一个
in: 在
to: 到/向
have: 有
it: 它
he: 他
i: 我
for: 为了/给
that: 那个
not: 不
you: 你
with: 和/带有
on: 在……上
do: 做
they: 他们
say: 说
by: 通过/由
this: 这个
she: 她
at: 在
but: 除了
we: 我们
his: 他的
from: 从
which: 哪一个
n't: 不
or: 或
an: 一个
will: 意志
as: 作为
what: 什么
would: 将
can: 装罐
go: 去
their: 他们的
there: 在那里
who: 谁
all: 所有的
get: 得到
if: 如果
her: 她的
make: 制作/使
my: 我的
about: 在...周围
one: 一
know: 知道
see: 看见
so: 如此
time: 时间
up: 向上的
take: 拿
some: 一些
when: 当...的时候
year: 年
could: 可以
think: 想/认为
into: 进入...之内
its: 它的
them: 他们
then: 然后
two: 二
me: 我
out: 外面的
people: 人
come: 来
just: 正直的
your: 你的
now: 现在
him: 他
no: 不
other: 其他的
only: 唯一的
give: 给
good: 善行
than: 比
like: 相似的
more: 更多
how: 如何
these: 这些
also: 也
any: 任何的
first: 首先
our: 我们的
very: 真正的
new: 新的
look: 一看
may: 五月
want: 想要
way: 路
well: 井
should: 应该
use: 使用
because: 因为
day: 天
man: 男人
find: 找到
after: 在...之后
here: 在这里
between: 在...之间
thing: 事物
many: 多数
er: 铒
those: 那些
down: 向下的
tell: 告诉
yeah: 是
three: 三
back: 后面的
even: 平坦的
such: 如此的
through: 穿越
over: 结束
must: 必须
woman: 女人
still: 蒸馏室
us: 我们
child: 孩子
life: 生活
too: 也
put: 放
work: 工作
own: 自己的
last: 最后的
oh: 哦
mean: 低劣的
become: 变成
call: 呼叫
mr: 先生
world: 世界
government: 政府
school: 学校
old: 以前
leave: 许可
try: 尝试
great: 大的
ask: 问
where: 在哪里
need: 需要
erm: ermine 貂
feel: 感觉
seem: 象是
system: 系统
same: 相同的
state: 州
might: 力量
never: 从不
case: 情形
part: 部分
high: 高度
group: 团体
something: 某事
number: 数
really: 实际上
most: 最多
yes: 是
another: 另外的
however: 然而
much: 大量
family: 家庭
show: 显示
house: 房子
area: 区域
company: 公司
while: 一会儿
problem: 问题
against: 反对
again: 再一次
keep: 生计
student: 学生
under: 在...之下
why: 为什么
let: 让
service: 服务
big: 大的
place: 地方
hand: 手
begin: 开始
country: 国家
party: 宴会
help: 帮忙
small: 小的
talk: 谈话
each: 每个
turn: 转弯
every: 每一
provide: 提供
start: 惊起
off: 关着的
american: 美国人
point: 点
different: 不同的
hold: 把握
week: 星期
large: 大的
member: 成员
four: 四
always: 总是
few: 很少的
follow: 跟随
end: 结束
without: 没有
within: 内部
local: 地方性的
during: 在...的时候
right: 权利
program: 节目
bring: 带来
hear: 听到
word: 话
although: 虽然
question: 问题
before: 在...之前
next: 下一个
play: 游戏
fact: 事实
run: 跑
social: 社会的
going: 去
quite: 相当
five: 五
move: 移动
head: 头
night: 夜
live: 活的
write: 书写
believe: 相信
side: 旁边
set: 日落
month: 月
today: 今天
business: 生意
happen: 发生
long: 长的
important: 重要的
eye: 眼睛
home: 家
million: 百万
information: 消息
power: 力
change: 变化
water: 水
pay: 薪资
room: 房间
young: 年轻的
both: 两者的
mother: 母亲
often: 时常
interest: 兴趣
national: 国家的
money: 金钱
story: 故事
development: 发展
book: 书
away: 离去
lot: 运气
form: 形状
study: 学习
level: 水平
second: 秒
job: 工作
early: 早的
though: 然而
include: 包括
car: 汽车
issue: 发行
london: 伦敦
perhaps: 也许
kind: 种类
policy: 政策
council: 会议
far: 远的
black: 黑色
market: 市场
court: 法院
already: 已经
little: 一点点
possible: 可能的
allow: 允许
nothing: 无
meet: 会
since: 自...以后
yet: 还
effect: 结果
lead: 铅
around: 包围
result: 结果
friend: 朋友
whether: 是否
mm: 毫米
father: 父亲
idea: 主意
sit: 坐
john: 盥洗室
until: 直到
name: 名字
hour: 小时
game: 比赛
stand: 站立
body: 身体
line: 列
report: 报告
political: 政治的
law: 法律
among: 在...之中
later: 以后
almost: 几乎
ever: 曾经
bad: 坏的
face: 脸
carry: 进位
lose: 遗失
road: 路
authority: 权力
himself: 他自己
together: 一起
appear: 出现
city: 城市
continue: 继续
six: 六
minister: 部长
able: 能干的
community: 社区
produce: 生产品
rate: 比率
late: 迟的
door: 门
once: 一次
general: 一般
white: 白色
